DateStamp = 202212161358, File Name = REMittance.xls, RRN Column = 3, PAN Column = 0, Amount Column = 2 
DateStamp = 202212161400, File Name = REMittance.xls, RRN Column = 3, PAN Column = 0, Amount Column = 2 
DateStamp = 202212161402, File Name = REMittance.xls, RRN Column = 2, PAN Column = 0, Amount Column = 1 
DateStamp = 202212161518, File Name = unsettled.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
DateStamp = 202212161526, File Name = Book1.xlsx, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202212170954, File Name = unsettled.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
DateStamp = 202212170955, File Name = t.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 3 
DateStamp = 202212171002, File Name = t.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 3 
DateStamp = 202212171032, File Name = rep.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202212190927, File Name = unsettled_mc_txn.xlsx, RRN Column = 4, PAN Column = 1, Amount Column = 3 
DateStamp = 202212220943, File Name = Remittance_BIB.xls, RRN Column = 3, PAN Column = 0, Amount Column = 1 
DateStamp = 202212220945, File Name = Remittance_BIB.xls, RRN Column = 3, PAN Column = 0, Amount Column = 1 
DateStamp = 202212220948, File Name = Book1.xlsx, RRN Column = 3, PAN Column = 0, Amount Column = 1 
DateStamp = 202212221338, File Name = unsettled_mc_txn.xlsx, RRN Column = 4, PAN Column = 1, Amount Column = 3 
DateStamp = 202212221341, File Name = unsettled_mc_txn.xlsx, RRN Column = 3, PAN Column = 1, Amount Column = 3 
DateStamp = 202212221342, File Name = unsettled_mc_txn.xlsx, RRN Column = 3, PAN Column = 4, Amount Column = 2 
DateStamp = 202212221343, File Name = unsettled_mc_txn.xlsx, RRN Column = 4, PAN Column = 1, Amount Column = 3 
DateStamp = 202212221343, File Name = unsettled_mc_txn.xlsx, RRN Column = 4, PAN Column = 1, Amount Column = 3 
DateStamp = 202212231012, File Name = Remittance_BIB.xls, RRN Column = 3, PAN Column = 0, Amount Column = 1 
DateStamp = 202212231018, File Name = bib_eod_case101.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202212231019, File Name = bib_2022_MC_1223.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202212261732, File Name = unsettled.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
DateStamp = 202212261737, File Name = unsettled.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
DateStamp = 202212271003, File Name = hb_new_new_1.xlsx, RRN Column = 4, PAN Column = 1, Amount Column = 3 
DateStamp = 202212271023, File Name = united_bank_deducted_trnsaction_as_of_Aug_31_1.xlsx, RRN Column = 4, PAN Column = 1, Amount Column = 3 
DateStamp = 202212271025, File Name = hb_new_new_2.xlsx, RRN Column = 4, PAN Column = 1, Amount Column = 3 
DateStamp = 202212271031, File Name = NIB_Unsettled_txns.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202212271036, File Name = NIB_Unsettled_txns_with_the_bin_of_956808.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202212271210, File Name = NIB_Unsettled_txns.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202212271235, File Name = NIB_Unsettled_txns.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202212291416, File Name = unsettled.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
DateStamp = 202212291418, File Name = unsettled.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
DateStamp = 202212291425, File Name = unsettled.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
DateStamp = 202212291443, File Name = b.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202212301615, File Name = VISA_USETTLED_AS_DEC_27_2022.xlsx, RRN Column = 3, PAN Column = 0, Amount Column = 2 
DateStamp = 202212310911, File Name = Copy_of_unsettled5007.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
DateStamp = 202301031626, File Name = Approved_VISA_Transactions_but_not_found_in_Outgoing_AIB_MasterCard_Transaction_by_Transaction_Type.xlsx, RRN Column = 6, PAN Column = 2, Amount Column = 4 
DateStamp = 202301031627, File Name = Approved_VISA_Transactions_but_not_found_in_Outgoing_AIB_MasterCard_Transaction_by_Transaction_Type.xlsx, RRN Column = 3, PAN Column = 0, Amount Column = 2 
DateStamp = 202301031629, File Name = Valid_Local_POS_Transaction_Not_Included_in_Clearing_Valid_Local_POS_Transaction_Not_Included_in_Clearing.xlsx, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301031631, File Name = Valid_Local_POS_Transaction_Not_Included_in_Clearing_Valid_Local_POS_Transaction_Not_Included_in_Clearing.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 3 
DateStamp = 202301041057, File Name = Approved_VISA_Transactions_but_not_found_in_Outgoing_AIB_MasterCard_Transaction_by_Transaction_Type.xlsx, RRN Column = 3, PAN Column = 0, Amount Column = 2 
DateStamp = 202301041059, File Name = Valid_Local_POS_Transaction_Not_Included_in_Clearing_Valid_Local_POS_Transaction_Not_Included_in_Clearing.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 3 
DateStamp = 202301041101, File Name = RESULT.202212131102.VISA.BRIB.540224.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301041104, File Name = Remittance_BIB.xls, RRN Column = 3, PAN Column = 0, Amount Column = 1 
DateStamp = 202301041107, File Name = RESULT.202212131044.MasterCard.BRIB.126087_4.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301041113, File Name = RESULT.202212131044.MasterCard.BRIB.126087_4.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301051455, File Name = VISA_USETTLED_AS_jan_03_2023.xlsx, RRN Column = 3, PAN Column = 0, Amount Column = 2 
